p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
3.96597462127661e-197	8.35074332745094	0.014	0	7.44770374129534e-193	16	Gm34240
0	8.21058933546793	0.307	0.001	0	16	Pdlim3
0	8.15438100481964	0.28	0.002	0	16	Cbr2
0	8.1526116015048	0.03	0	0	16	Il1f5
0	8.00209409627676	0.648	0.004	0	16	Kit
1.28138058974599e-193	7.91028732926731	0.013	0	2.406304609484e-189	16	Gm9871
0	11.7597865548669	0.075	0	0	17	Serpinb9b
0	11.2047270465357	0.087	0	0	17	Phactr3
0	11.0080906978214	0.282	0	0	17	Klra8
1.41708012178367e-167	10.4784047225042	0.011	0	2.66113476069756e-163	17	Klrb1
0	10.3882807249196	0.47	0.001	0	17	Cma1
0	10.3435335643578	0.396	0.001	0	17	Klra4
0	10.0790790878796	0.033	0	0	17	Tmsb15a
0	9.60259402071263	0.397	0.001	0	17	Klra7
3.32284825626391e-252	9.19211835414185	0.017	0	6.239976740438e-248	17	Tnni1
0	9.17489056534579	0.736	0.002	0	17	Ncr1
0	8.87033346069239	0.124	0	0	18	Troap
0	7.92850373884373	0.187	0.001	0	18	Ankle1
0	7.9002820053217	0.094	0.001	0	18	Cdc25c
0	7.87288039121526	0.119	0.001	0	18	Iqgap3
0	7.84619686349312	0.434	0.003	0	18	Hmmr
0	7.73660044820336	0.267	0.002	0	18	Aspm
0	7.73508552923577	0.061	0	0	18	Pif1
0	7.72524875116123	0.046	0	0	18	Kif14
0	7.69149764427346	0.32	0.002	0	18	Esco2
0	7.56023408694477	0.335	0.003	0	18	Knl1
0	14.207112617164	0.027	0	0	19	2010309G21Rik
0	12.8990692778426	0.536	0	0	19	Ms4a1
9.02250892086185e-164	12.8462434424932	0.01	0	1.69433695024865e-159	19	Gm11690
0	12.5009175207961	0.237	0	0	19	Pax5
0	12.3517990641186	0.606	0	0	19	Ighd
0	12.1088967078794	0.792	0.001	0	19	Cd79a
9.02250892086185e-164	11.991149446258	0.01	0	1.69433695024865e-159	19	4930597A21Rik
0	11.6434497260141	0.266	0	0	19	Cd19
0	11.5917466700169	0.229	0	0	19	Vpreb3
0	11.5506377619649	0.263	0	0	19	Fcer2a
0	6.81999692304757	0.856	0.015	0	20	Xist
0	6.16051526034519	0.18	0.002	0	20	Tsix
2.14495677723866e-205	5.72889717481081	0.053	0.001	4.02801433197647e-201	20	Slc22a27
0	5.65325466599349	0.466	0.008	0	20	Hdc
9.08832359051215e-33	5.61336634580337	0.01	0	1.70669628706228e-28	20	E330021D16Rik
